"appearance_id","game_id","player_id","player_club_id","player_current_club_id","appearances_date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"3839025_212723","3839025","212723","24","368","2022-08-05","Djibril Sow","L1",0,0,0,0,90
"3839025_216181","3839025","216181","24","24","2022-08-05","Almamy Touré","L1",0,0,0,0,90
"3839025_281963","3839025","281963","27","583","2022-08-05","Lucas Hernández","L1",0,0,0,0,82
"3839025_323831","3839025","323831","24","24","2022-08-05","Rafael Borré","L1",0,0,0,0,45
"3839025_326031","3839025","326031","27","27","2022-08-05","Matthijs de Ligt","L1",0,0,0,0,8
"3839025_340456","3839025","340456","27","27","2022-08-05","Noussair Mazraoui","L1",0,0,0,0,8
"3839025_344695","3839025","344695","27","27","2022-08-05","Dayot Upamecano","L1",0,0,0,0,90
"3839025_353366","3839025","353366","27","46","2022-08-05","Benjamin Pavard","L1",0,0,1,0,82
"3839025_371149","3839025","371149","24","12","2022-08-05","Evan Ndicka","L1",1,0,0,0,90
"3839025_374954","3839025","374954","24","167","2022-08-05","Kristijan Jakic","L1",0,0,0,0,45
"3839025_39259","3839025","39259","24","24","2022-08-05","Makoto Hasebe","L1",0,0,0,0,9
"3839025_424204","3839025","424204","27","27","2022-08-05","Alphonso Davies","L1",0,0,0,0,90
"3839025_429874","3839025","429874","24","24","2022-08-05","Ansgar Knauff","L1",0,0,0,0,90
"3839025_44466","3839025","44466","24","24","2022-08-05","Sebastian Rode","L1",0,0,0,0,45
"3839025_456492","3839025","456492","24","3","2022-08-05","Faride Alidou","L1",0,0,0,0,16
"3839025_45672","3839025","45672","24","24","2022-08-05","Kevin Trapp","L1",0,0,0,0,90
"3839025_478573","3839025","478573","27","31","2022-08-05","Ryan Gravenberch","L1",0,0,0,0,33
"3839025_487969","3839025","487969","24","583","2022-08-05","Randal Kolo Muani","L1",0,0,1,0,45
"3839025_513245","3839025","513245","24","6195","2022-08-05","Jesper Lindstrøm","L1",0,0,0,0,45
"3839025_546213","3839025","546213","24","24","2022-08-05","Tuta","L1",0,0,0,0,81
"3839025_580195","3839025","580195","27","27","2022-08-05","Jamal Musiala","L1",0,0,2,0,90
"3839025_58358","3839025","58358","27","27","2022-08-05","Thomas Müller","L1",0,0,0,2,65
"3839025_74842","3839025","74842","24","24","2022-08-05","Mario Götze","L1",0,0,0,0,90
"3839025_801734","3839025","801734","27","27","2022-08-05","Mathys Tel","L1",0,0,0,0,25
"3839732_119104","3839732","119104","1147","1147","2022-08-05","Riad Nouri","FR1",0,0,0,0,71
"3839732_124901","3839732","124901","1147","1147","2022-08-05","Benjamin Leroy","FR1",0,0,0,0,90
"3839732_131225","3839732","131225","1041","1041","2022-08-05","Nicolás Tagliafico","FR1",0,0,0,0,90
"3839732_135617","3839732","135617","1041","1041","2022-08-05","Thiago Mendes","FR1",0,0,0,0,90
"3839732_172153","3839732","172153","1147","1147","2022-08-05","Mickaël Alphonse","FR1",0,0,0,0,90
"3839732_18934","3839732","18934","1147","1147","2022-08-05","Thomas Mangani","FR1",0,0,1,0,89
"3839732_18940","3839732","18940","1041","1041","2022-08-05","Rémy Riou","FR1",0,0,0,0,60
"3839732_190393","3839732","190393","1041","1041","2022-08-05","Corentin Tolisso","FR1",0,0,0,0,15
"3839732_267147","3839732","267147","1147","1147","2022-08-05","Cyrille Bayala","FR1",0,0,0,0,71
"3839732_290552","3839732","290552","1147","1147","2022-08-05","Qazim Laçi","FR1",0,0,0,0,1
"3839732_315110","3839732","315110","1041","273","2022-08-05","Karl Toko Ekambi","FR1",0,0,0,0,75
"3839732_364525","3839732","364525","1147","1147","2022-08-05","Bevic Moussiti-Oko","FR1",0,0,0,0,19
"3839732_371256","3839732","371256","1041","141","2022-08-05","Tetê","FR1",0,0,1,1,89
"3839732_371554","3839732","371554","1147","1147","2022-08-05","Kevin Spadanuda","FR1",1,0,0,0,19
"3839732_374040","3839732","374040","1147","1147","2022-08-05","Vincent Marchetti","FR1",0,0,0,0,89
"3839732_375881","3839732","375881","1147","1147","2022-08-05","Ismaël Diallo","FR1",1,0,0,0,90
"3839732_388795","3839732","388795","1147","1147","2022-08-05","Oumar Gonzalez","FR1",0,0,0,0,90
"3839732_395693","3839732","395693","1041","12","2022-08-05","Houssem Aouar","FR1",0,0,0,0,30
"3839732_39914","3839732","39914","1147","1147","2022-08-05","Mathieu Coutadeur","FR1",0,0,0,0,1
"3839732_44421","3839732","44421","1147","1147","2022-08-05","Cédric Avinel","FR1",1,0,0,0,90
"3839732_444523","3839732","444523","1041","379","2022-08-05","Lucas Paquetá","FR1",0,0,0,0,75
"3839732_585973","3839732","585973","1041","1041","2022-08-05","Johann Lepenant","FR1",0,0,0,0,90
"3869048_712107","3869048","712107","3329","3329","2022-08-06","Luiz Júnior","PO1",0,0,0,0,90
"3869048_726721","3869048","726721","1465","1090","2022-08-06","Gonçalo Esteves","PO1",1,0,0,0,90
